Date,Adj Close
10/17/1997,3.625
10/20/1997,3.822917
10/21/1997,4.427083
10/22/1997,4.520833
10/23/1997,4.5
10/24/1997,5.026042
10/27/1997,4.270833
10/28/1997,4.947917
10/29/1997,5.390625
10/30/1997,5.125
10/31/1997,5.083333
11/3/1997,5.072917
11/4/1997,4.958333
11/5/1997,4.875
11/6/1997,4.661458
11/7/1997,4.479167
11/10/1997,4.208333
11/11/1997,3.947917
11/12/1997,3.770833
11/13/1997,3.859375
11/14/1997,4.166667
11/17/1997,4.375
11/18/1997,4.416667
11/19/1997,4.510417
11/20/1997,4.583333
11/21/1997,4.489583
11/24/1997,4.229167
11/25/1997,4.203125
11/26/1997,4.260417
11/28/1997,4.125
12/1/1997,4.270833
12/2/1997,4.234375
12/3/1997,4.364583
12/4/1997,4.5
12/5/1997,4.59375
12/8/1997,4.708333
12/9/1997,4.6875
12/10/1997,4.510417
12/11/1997,4.6875
12/12/1997,4.541667
12/15/1997,4.583333
12/16/1997,4.458333
12/17/1997,4.390625
12/18/1997,4.291667
12/19/1997,4.5
12/22/1997,4.697917
12/23/1997,4.625
12/24/1997,4.604167
12/26/1997,4.520833
12/29/1997,4.75
12/30/1997,4.848958
12/31/1997,5.020833
1/2/1998,4.958333
1/5/1998,4.75
1/6/1998,4.838542
1/7/1998,4.78125
1/8/1998,4.614583
1/9/1998,4.260417
1/12/1998,4.302083
1/13/1998,4.645833
1/14/1998,4.875
1/15/1998,4.953125
1/16/1998,4.791667
1/20/1998,4.953125
1/21/1998,5.072917
1/22/1998,5.135417
1/23/1998,4.9375
1/26/1998,4.8125
1/27/1998,4.75
1/28/1998,4.770833
1/29/1998,4.958333
1/30/1998,4.916667
2/2/1998,5.197917
2/3/1998,5.151042
2/4/1998,5.0625
2/5/1998,4.9375
2/6/1998,4.90625
2/9/1998,4.854167
2/10/1998,5.302083
2/11/1998,5.291667
2/12/1998,5.260417
2/13/1998,5.1875
2/17/1998,5.145833
2/18/1998,5.072917
2/19/1998,5.229167
2/20/1998,5.270833
2/23/1998,5.40625
2/24/1998,5.40625
2/25/1998,5.489583
2/26/1998,6.0625
2/27/1998,6.416667
3/2/1998,6.354167
3/3/1998,5.979167
3/4/1998,6.119792
3/5/1998,6.25
3/6/1998,6.395833
3/9/1998,6.958333
3/10/1998,6.925775
3/11/1998,6.635417
3/12/1998,6.541667
3/13/1998,6.557292
3/16/1998,6.583333
3/17/1998,6.65625
3/18/1998,7.109375
3/19/1998,7
3/20/1998,7
3/23/1998,6.984375
3/24/1998,7.020833
3/25/1998,6.807292
3/26/1998,6.895833
3/27/1998,7.083333
3/30/1998,7.15625
3/31/1998,7.1276
4/1/1998,7.510417
4/2/1998,7.921875
4/3/1998,7.75
4/6/1998,7.385417
4/7/1998,7.166667
4/8/1998,7.385417
4/9/1998,7.9375
4/13/1998,7.859375
4/14/1998,8.098958
4/15/1998,8.010417
4/16/1998,8.208333
4/17/1998,7.90625
4/20/1998,7.854167
4/21/1998,7.755208
4/22/1998,7.270833
4/23/1998,6.75
4/24/1998,7.072917
4/27/1998,6.895833
4/28/1998,7.96875
4/29/1998,7.958333
4/30/1998,7.645833
5/1/1998,7.875
5/4/1998,7.9375
5/5/1998,7.809892
5/6/1998,7.53125
5/7/1998,7.583333
5/8/1998,7.697917
5/11/1998,7.239583
5/12/1998,7.614583
5/13/1998,7.739583
5/14/1998,7.630208
5/15/1998,7.46875
5/18/1998,7.338542
5/19/1998,7.53125
5/20/1998,7.385417
5/21/1998,7.395833
5/22/1998,7.166667
5/26/1998,6.822917
5/27/1998,7.21875
5/28/1998,7.161458
5/29/1998,7.34375
6/1/1998,7.135417
6/2/1998,7.28125
6/3/1998,7.041667
6/4/1998,7.3125
6/5/1998,7.375
6/8/1998,7.708333
6/9/1998,8.541667
6/10/1998,9.020833
6/11/1998,10.416667
6/12/1998,10.166667
6/15/1998,10.958333
6/16/1998,12.270833
6/17/1998,13.166667
6/18/1998,12.020833
6/19/1998,12.635417
6/22/1998,13.5625
6/23/1998,15.447917
6/24/1998,16.635416
6/25/1998,16.510416
6/26/1998,15.708333
6/29/1998,16.458334
6/30/1998,16.625
7/1/1998,19.020834
7/2/1998,20.666666
7/6/1998,23.25
7/7/1998,20.354166
7/8/1998,17.854166
7/9/1998,17.583334
7/10/1998,16.583334
7/13/1998,17.9375
7/14/1998,19.166666
7/15/1998,18.75
7/16/1998,18.895834
7/17/1998,19.96875
7/20/1998,22.916666
7/21/1998,22.010416
7/22/1998,22.333334
7/23/1998,21.270834
7/24/1998,20.708334
7/27/1998,20.927084
7/28/1998,19.822916
7/29/1998,17.96875
7/30/1998,18.958334
7/31/1998,18.479166
8/3/1998,18.041666
8/4/1998,18.3125
8/5/1998,17.697916
8/6/1998,18.25
8/7/1998,19.333334
8/10/1998,20.270834
8/11/1998,20.666666
8/12/1998,21.729166
8/13/1998,21.25
8/14/1998,20.458334
